ingredient_a,ingredient_b,score,shared_compounds,key_compounds,explanation
bakery-products,coffee,0.323,6,"2,5-Dimethylpyrazine;2-Ethylpyrazine;2,3,5-Trimethylpyrazine;2-Methylpyrazine;2,3-Dimethylpyrazine","Subtle pairing with 6 shared flavor compounds including 2,5-Dimethylpyrazine"
bread,rye-bread,0.514,10,"Thiamine Hydrochloride;3-(Methylthio)propionaldehyde;Phenylacetic Acid;Heptanoic Acid;3,4-Dihydroxybenzoic Acid",Good pairing with 10 shared flavor compounds including Thiamine Hydrochloride
bread,wheaten-bread,0.257,3,2-Acetylpyridine;2-Pentanone;Acetylpyrazine,"Subtle pairing; both contain 2-Acetylpyridine, 2-Pentanone and Acetylpyrazine"
bread,wholewheat-bread,0.451,9,Thiamine Hydrochloride;3-(Methylthio)propionaldehyde;methanethiol;betaine;Heptanoic Acid,Good pairing with 9 shared flavor compounds including Thiamine Hydrochloride
bread,wort,0.665,20,5-Methylfurfural;3-Methylbutanal;2-Furaldehyde;lauric acid;Pentanal,Strong pairing with 20 shared flavor compounds including 5-Methylfurfural
bread,arrack,0.276,3,benzaldehyde;Methyl Acetate;1-propanol,"Subtle pairing; both contain benzaldehyde, Methyl Acetate and 1-propanol"
bread,beer,0.813,62,"5-Methylfurfural;naringenin;2,6-Dimethylpyridine;salicylic acid;3-Hexanone",Excellent pairing with 62 shared flavor compounds including 5-Methylfurfural
bread,bantu-beer,0.424,6,benzaldehyde;Phenethyl acetate;2-Acetylpyridine;Propionaldehyde;Pentanal,Good pairing with 6 shared flavor compounds including benzaldehyde
bread,brandy,0.595,15,Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate;4-hydroxybenzaldehyde,Good pairing with 15 shared flavor compounds including Phenethyl acetate
bread,anise-brandy,0.613,16,1-propanol;Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate,Strong pairing with 16 shared flavor compounds including 1-propanol
bread,apple-brandy,0.613,18,1-propanol;Phenethyl acetate;6-Methyl-5-Hepten-2-One;2-Acetylpyridine;Heptanoic Acid,Strong pairing with 18 shared flavor compounds including 1-propanol
bread,armagnac-brandy,0.613,16,1-propanol;Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate,Strong pairing with 16 shared flavor compounds including 1-propanol
bread,blackberry-brandy,0.593,15,Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate;4-hydroxybenzaldehyde,Good pairing with 15 shared flavor compounds including Phenethyl acetate
bread,cherry-brandy,0.592,15,Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate;4-hydroxybenzaldehyde,Good pairing with 15 shared flavor compounds including Phenethyl acetate
bread,cognac-brandy,0.739,43,5-Methylfurfural;3-Methylbutanal;3-Methyl-2-butenal;2-Furaldehyde;lauric acid,Strong pairing with 43 shared flavor compounds including 5-Methylfurfural
bread,papaya-brandy,0.593,15,Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate;4-hydroxybenzaldehyde,Good pairing with 15 shared flavor compounds including Phenethyl acetate
bread,pear-brandy,0.611,17,1-propanol;Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate,Strong pairing with 17 shared flavor compounds including 1-propanol
bread,plum-brandy,0.611,18,1-propanol;Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate,Strong pairing with 18 shared flavor compounds including 1-propanol
bread,raspberry-brandy,0.592,15,Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate;4-hydroxybenzaldehyde,Good pairing with 15 shared flavor compounds including Phenethyl acetate
bread,weinbrand-brandy,0.59,15,Phenethyl acetate;2-Acetylpyridine;Heptanoic Acid;Methyl Acetate;4-hydroxybenzaldehyde,Good pairing with 15 shared flavor compounds including Phenethyl acetate
bread,gin,0.564,11,Thiamine Hydrochloride;1-propanol;Heptanoic Acid;CID 644104;3-Methyl-1-butanol,Good pairing with 11 shared flavor compounds including Thiamine Hydrochloride
bread,rum,0.696,37,salicylic acid;3-Hexanone;3-Methylbutanal;2-Furaldehyde;lauric acid,Strong pairing with 37 shared flavor compounds including salicylic acid
bread,whisky,0.708,28,"2,6-Dimethylpyridine;2-Furaldehyde;Isobutyric Acid;lauric acid;octanoic acid","Strong pairing with 28 shared flavor compounds including 2,6-Dimethylpyridine"
bread,bourbon-whisky,0.687,27,"2,6-Dimethylpyridine;2-Furaldehyde;Isobutyric Acid;lauric acid;octanoic acid","Strong pairing with 27 shared flavor compounds including 2,6-Dimethylpyridine"
bread,canadian-whisky,0.673,25,"2,6-Dimethylpyridine;2-Furaldehyde;Isobutyric Acid;lauric acid;octanoic acid","Strong pairing with 25 shared flavor compounds including 2,6-Dimethylpyridine"
bread,finnish-whisky,0.689,27,"2,6-Dimethylpyridine;2-Furaldehyde;Isobutyric Acid;lauric acid;octanoic acid","Strong pairing with 27 shared flavor compounds including 2,6-Dimethylpyridine"
bread,japanese-whisky,0.665,25,"2,6-Dimethylpyridine;2-Furaldehyde;Isobutyric Acid;lauric acid;octanoic acid","Strong pairing with 25 shared flavor compounds including 2,6-Dimethylpyridine"
bread,malt-whisky,0.673,28,"2,6-Dimethylpyridine;2-Furaldehyde;lauric acid;Isobutyric Acid;octanoic acid","Strong pairing with 28 shared flavor compounds including 2,6-Dimethylpyridine"
bread,scotch-whisky,0.687,28,"2,6-Dimethylpyridine;2-Furaldehyde;Isobutyric Acid;Pentanal;lauric acid","Strong pairing with 28 shared flavor compounds including 2,6-Dimethylpyridine"
bread,wine,0.814,45,naringenin;salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid,Excellent pairing with 45 shared flavor compounds including naringenin
bread,bilberry-wine,0.734,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,botrytized-wine,0.73,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,champagne,0.737,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;Isobutyric Acid;lauric acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,cider,0.626,20,2-Furaldehyde;lauric acid;Pentanal;Isobutyric Acid;octanoic acid,Strong pairing with 20 shared flavor compounds including 2-Furaldehyde
bread,plum-wine,0.736,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;Isobutyric Acid;lauric acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,port-wine,0.749,36,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 36 shared flavor compounds including salicylic acid
bread,red-wine,0.718,36,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 36 shared flavor compounds including salicylic acid
bread,rose-wine,0.729,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,sake,0.643,16,1-propanol;4-Methylpentanoic Acid;methanethiol;Phenylacetic Acid;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including 1-propanol
bread,sherry,0.753,42,"2,6-Dimethylpyridine;salicylic acid;3-Methylbutanal;ethyl acetoacetate;2-Furaldehyde","Strong pairing with 42 shared flavor compounds including 2,6-Dimethylpyridine"
bread,sparkling-wine,0.718,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,strawberry-wine,0.732,33,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Isobutyric Acid,Strong pairing with 33 shared flavor compounds including salicylic acid
bread,white-wine,0.709,42,salicylic acid;3-Methylbutanal;2-Furaldehyde;lauric acid;Pentanal,Strong pairing with 42 shared flavor compounds including salicylic acid
bread,coffee,0.764,55,"14400-67-0;5-Methylfurfural;2,6-Dimethylpyridine;3-Hexanone;ethyl acetoacetate",Strong pairing with 55 shared flavor compounds including 14400-67-0
bread,mate,0.573,14,5-Methylfurfural;Octanal;indole;phenylacetaldehyde;Isoeugenol,Good pairing with 14 shared flavor compounds including 5-Methylfurfural
bread,black-tea,0.423,9,benzaldehyde;Acetylpyrazine;4-Methylpentanoic Acid;palmitic acid;2-Acetylpyridine,Good pairing with 9 shared flavor compounds including benzaldehyde
bread,green-tea,0.336,4,cis-3-Hexenyl acetate;Pyrazine;coumarin;phenylacetaldehyde,Subtle pairing with 4 shared flavor compounds including cis-3-Hexenyl acetate
rye-bread,wholewheat-bread,0.815,14,Thiamine Hydrochloride;Violet leaf aldehyde;3-(Methylthio)propionaldehyde;1-Penten-3-Ol;Isoamyl Acetate,Excellent pairing with 14 shared flavor compounds including Thiamine Hydrochloride
rye-bread,wort,0.563,7,vanillin;Methyl Hexanoate;Nonanoic Acid;Phenylacetic Acid;2-Methoxy-4-vinylphenol,Good pairing with 7 shared flavor compounds including vanillin
rye-bread,beer,0.636,28,Violet leaf aldehyde;Nonanoic Acid;Phenylacetic Acid;thiamine;23747-48-0,Strong pairing with 28 shared flavor compounds including Violet leaf aldehyde
rye-bread,brandy,0.562,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,anise-brandy,0.559,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,apple-brandy,0.57,8,Hexyl acetate;Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde,Good pairing with 8 shared flavor compounds including Hexyl acetate
rye-bread,armagnac-brandy,0.559,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,blackberry-brandy,0.559,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,cherry-brandy,0.555,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,cognac-brandy,0.553,17,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Good pairing with 17 shared flavor compounds including Hexyl acetate
rye-bread,papaya-brandy,0.559,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,pear-brandy,0.56,7,Hexyl acetate;Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde,Good pairing with 7 shared flavor compounds including Hexyl acetate
rye-bread,plum-brandy,0.49,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,raspberry-brandy,0.555,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,weinbrand-brandy,0.552,6,Heptanoic Acid;Pyridine;Ethyl Lactate;Isobutyraldehyde;guaiacol,Good pairing with 6 shared flavor compounds including Heptanoic Acid
rye-bread,gin,0.6,4,Thiamine Hydrochloride;Heptanoic Acid;CID 644104;thiamine,Good pairing with 4 shared flavor compounds including Thiamine Hydrochloride
rye-bread,rum,0.547,16,Thiamine Hydrochloride;Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone,Good pairing with 16 shared flavor compounds including Thiamine Hydrochloride
rye-bread,whisky,0.679,15,Thiamine Hydrochloride;Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid,Strong pairing with 15 shared flavor compounds including Thiamine Hydrochloride
rye-bread,bourbon-whisky,0.593,12,Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid;Ethyl Palmitate,Good pairing with 12 shared flavor compounds including Hexyl acetate
rye-bread,canadian-whisky,0.613,12,Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid;Ethyl Palmitate,Strong pairing with 12 shared flavor compounds including Hexyl acetate
rye-bread,finnish-whisky,0.623,13,Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid;Pyridine,Strong pairing with 13 shared flavor compounds including Hexyl acetate
rye-bread,japanese-whisky,0.6,12,Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid;Ethyl Palmitate,Good pairing with 12 shared flavor compounds including Hexyl acetate
rye-bread,malt-whisky,0.645,16,3-(Methylthio)propionaldehyde;Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including 3-(Methylthio)propionaldehyde
rye-bread,scotch-whisky,0.622,14,Hexyl acetate;Isoamyl Acetate;Damascenone;Heptanoic Acid;Pyridine,Strong pairing with 14 shared flavor compounds including Hexyl acetate
rye-bread,wine,0.71,22,Nonanoic Acid;Phenylacetic Acid;thiamine;Damascenone;Ethyl Palmitate,Strong pairing with 22 shared flavor compounds including Nonanoic Acid
rye-bread,bilberry-wine,0.651,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,botrytized-wine,0.645,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,champagne,0.655,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,cider,0.601,10,Hexyl acetate;Isoamyl Acetate;Damascenone;Propyl acetate;Methyl Hexanoate,Strong pairing with 10 shared flavor compounds including Hexyl acetate
rye-bread,plum-wine,0.653,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,port-wine,0.666,18,Thiamine Hydrochloride;Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone,Strong pairing with 18 shared flavor compounds including Thiamine Hydrochloride
rye-bread,red-wine,0.622,18,1-Penten-3-Ol;Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone,Strong pairing with 18 shared flavor compounds including 1-Penten-3-Ol
rye-bread,rose-wine,0.643,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,sake,0.764,9,Phenylacetic Acid;Isoamyl Acetate;Heptanoic Acid;Propyl acetate;Maltol,Strong pairing with 9 shared flavor compounds including Phenylacetic Acid
rye-bread,sherry,0.645,21,Nonanoic Acid;Phenylacetic Acid;Damascenone;Pyridine;Ethyl Palmitate,Strong pairing with 21 shared flavor compounds including Nonanoic Acid
rye-bread,sparkling-wine,0.628,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,strawberry-wine,0.647,16,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Strong pairing with 16 shared flavor compounds including Hexyl acetate
rye-bread,white-wine,0.53,17,Hexyl acetate;Isoamyl Acetate;vanillin;Damascenone;Heptanoic Acid,Good pairing with 17 shared flavor compounds including Hexyl acetate
rye-bread,coffee,0.57,23,Violet leaf aldehyde;Nonanoic Acid;thiamine;23747-48-0;Damascenone,Good pairing with 23 shared flavor compounds including Violet leaf aldehyde
rye-bread,mate,0.349,3,Violet leaf aldehyde;1-Penten-3-Ol;Nonanoic Acid,"Subtle pairing; both contain Violet leaf aldehyde, 1-Penten-3-Ol and Nonanoic Acid"
rye-bread,black-tea,0.295,3,Damascenone;1-Penten-3-Ol;Pyridine,"Subtle pairing; both contain Damascenone, 1-Penten-3-Ol and Pyridine"
rye-bread,green-tea,0.392,3,1-Penten-3-Ol;Ethyl Palmitate;23747-48-0,"Subtle pairing; both contain 1-Penten-3-Ol, Ethyl Palmitate and 23747-48-0"
wheaten-bread,white-bread,0.628,4,2-Ethylbutanal;methylglyoxal;Furfuryl acetate;2-Octen-4-one,Strong pairing with 4 shared flavor compounds including 2-Ethylbutanal
wheaten-bread,wort,0.427,4,"2-Undecanone;Pyrrole;2,3,5-Trimethylpyrazine;phenol",Good pairing with 4 shared flavor compounds including 2-Undecanone
wheaten-bread,beer,0.508,18,"2-Undecanone;2-Pentanol;2,3-Pentanedione;Furfuryl acetate;2-Acetylpyridine",Good pairing with 18 shared flavor compounds including 2-Undecanone
wheaten-bread,brandy,0.513,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,anise-brandy,0.51,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,apple-brandy,0.451,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,armagnac-brandy,0.51,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,blackberry-brandy,0.51,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,cherry-brandy,0.506,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,cognac-brandy,0.465,12,"2-Undecanone;2-Pentanol;2,3-Pentanedione;2-Acetylpyridine;Pyridine",Good pairing with 12 shared flavor compounds including 2-Undecanone
wheaten-bread,papaya-brandy,0.51,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,pear-brandy,0.518,6,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 6 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,plum-brandy,0.53,7,2-Pentanol;2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide,Good pairing with 7 shared flavor compounds including 2-Pentanol
wheaten-bread,raspberry-brandy,0.506,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,weinbrand-brandy,0.503,5,2-Acetylpyridine;Pyridine;3-Acetylpyridine;Dimethyl trisulfide;2-Phenylethyl formate,Good pairing with 5 shared flavor compounds including 2-Acetylpyridine
wheaten-bread,rum,0.434,10,"2-Undecanone;2,3-Pentanedione;2,3,5-Trimethylpyrazine;2-Phenylethyl formate;Pyridine",Good pairing with 10 shared flavor compounds including 2-Undecanone
wheaten-bread,whisky,0.494,8,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;phenol;trimethylamine;Dimethyl trisulfide","Good pairing with 8 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,bourbon-whisky,0.513,9,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;phenol;trimethylamine;Dimethyl trisulfide","Good pairing with 9 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,canadian-whisky,0.499,8,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;phenol;trimethylamine;Dimethyl trisulfide","Good pairing with 8 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,finnish-whisky,0.516,9,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;Pyridine;phenol;trimethylamine","Good pairing with 9 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,japanese-whisky,0.489,8,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;phenol;trimethylamine;Dimethyl trisulfide","Good pairing with 8 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,malt-whisky,0.455,8,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;phenol;trimethylamine;Dimethyl trisulfide","Good pairing with 8 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,scotch-whisky,0.524,10,"2-Pentanol;2,3-Pentanedione;2,3,5-Trimethylpyrazine;Pyridine;phenol",Good pairing with 10 shared flavor compounds including 2-Pentanol
wheaten-bread,bilberry-wine,0.256,3,"Dimethyl trisulfide;2,3-Pentanedione;Ethyl Nonanoate","Subtle pairing; both contain Dimethyl trisulfide, 2,3-Pentanedione and Ethyl Nonanoate"
wheaten-bread,botrytized-wine,0.337,4,"Dimethyl trisulfide;2,3-Pentanedione;Pyruvic acid;Ethyl Nonanoate",Subtle pairing with 4 shared flavor compounds including Dimethyl trisulfide
wheaten-bread,champagne,0.258,3,"Dimethyl trisulfide;2,3-Pentanedione;Ethyl Nonanoate","Subtle pairing; both contain Dimethyl trisulfide, 2,3-Pentanedione and Ethyl Nonanoate"
wheaten-bread,plum-wine,0.257,3,"Dimethyl trisulfide;2,3-Pentanedione;Ethyl Nonanoate","Subtle pairing; both contain Dimethyl trisulfide, 2,3-Pentanedione and Ethyl Nonanoate"
wheaten-bread,port-wine,0.33,4,"Dimethyl trisulfide;2,3-Pentanedione;2-Phenylethyl formate;Ethyl Nonanoate",Subtle pairing with 4 shared flavor compounds including Dimethyl trisulfide
wheaten-bread,red-wine,0.367,6,"Dimethyl trisulfide;2-Pentanol;Octyl acetate;gamma-Valerolactone;2,3-Pentanedione",Subtle pairing with 6 shared flavor compounds including Dimethyl trisulfide
wheaten-bread,rose-wine,0.367,5,"2-Phenylethyl formate;phenol;Dimethyl trisulfide;2,3-Pentanedione;Ethyl Nonanoate",Subtle pairing with 5 shared flavor compounds including 2-Phenylethyl formate
wheaten-bread,sherry,0.423,9,"2,3-Pentanedione;2,3,5-Trimethylpyrazine;Pyridine;Piperidine;2-Furylacetone","Good pairing with 9 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,sparkling-wine,0.36,5,"2-Undecanone;Dimethyl trisulfide;Octyl acetate;2,3-Pentanedione;Ethyl Nonanoate",Subtle pairing with 5 shared flavor compounds including 2-Undecanone
wheaten-bread,strawberry-wine,0.255,3,"Dimethyl trisulfide;2,3-Pentanedione;Ethyl Nonanoate","Subtle pairing; both contain Dimethyl trisulfide, 2,3-Pentanedione and Ethyl Nonanoate"
wheaten-bread,white-wine,0.332,6,"2,3-Pentanedione;Pyruvic acid;Dimethyl trisulfide;2-Pentanone;gamma-Valerolactone","Subtle pairing with 6 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,coffee,0.531,20,2-Furylacetone;2-Phenylethyl formate;gamma-Valerolactone;2-Undecanone;Furfuryl acetate,Good pairing with 20 shared flavor compounds including 2-Furylacetone
wheaten-bread,mate,0.349,3,"2-Undecanone;2,3-Pentanedione;2-Pentadecanone","Subtle pairing; both contain 2-Undecanone, 2,3-Pentanedione and 2-Pentadecanone"
wheaten-bread,black-tea,0.541,8,"2,3-Pentanedione;Acetylpyrazine;2-Acetylpyridine;2,3,5-Trimethylpyrazine;2-Phenylethyl formate","Good pairing with 8 shared flavor compounds including 2,3-Pentanedione"
wheaten-bread,green-tea,0.269,2,"Octyl acetate;2,3,5-Trimethylpyrazine","Subtle pairing; both contain Octyl acetate and 2,3,5-Trimethylpyrazine"
white-bread,beer,0.283,4,Furfuryl Alcohol;3-Methyl-2-Buten-1-Ol;methylglyoxal;Furfuryl acetate,Subtle pairing with 4 shared flavor compounds including Furfuryl Alcohol
white-bread,brandy,0.273,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
white-bread,anise-brandy,0.271,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
white-bread,armagnac-brandy,0.271,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
white-bread,blackberry-brandy,0.271,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
white-bread,cherry-brandy,0.269,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
white-bread,cognac-brandy,0.329,5,Furfuryl Alcohol;3-Methyl-2-butenal;2-Furaldehyde;methylglyoxal;Ethyl Levulinate,Subtle pairing with 5 shared flavor compounds including Furfuryl Alcohol
white-bread,papaya-brandy,0.271,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
white-bread,raspberry-brandy,0.269,2,Furfuryl Alcohol;2-Furaldehyde,Subtle pairing; both contain Furfuryl Alcohol and 2-Furaldehyde
